lookback,skip,threshold,n_dates,n_rows,avg_names,gross_sharpe,net_sharpe_5bps,daily_turnover,hac_p_positive,serial_uvif_sr,uvif_sr_vs_row,rho_same_date,moulton_sei,hac_bandwidth,source
1,2,0.5,3497,45156,12.912782384901345,0.07310825884578295,-0.3936415321386478,0.7328784946709475,0.3864061559602675,0.8909246797675685,11.498149808338766,0.6867742140572364,3.030081147366438,6,"Kenneth French 25 Size/BM daily portfolios, trailing 3500 rows"
5,2,0.5,3493,45409,13.0,-0.31202883692830674,-0.527918993372767,0.33882259697943723,0.8780090572776482,0.9896395307479902,12.880245931554201,0.664398532633558,2.995460297116738,5,"Kenneth French 25 Size/BM daily portfolios, trailing 3500 rows"
21,2,0.5,3477,45201,13.0,0.05768432672213769,-0.04981011975276555,0.16912903083115846,0.41214181736062827,0.9330752943345245,12.121142828543311,0.6668311659834574,3.0003289805955426,5,"Kenneth French 25 Size/BM daily portfolios, trailing 3500 rows"
