b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,13,651,13,0.572822842454874,0.15694889516907665,3.6497411583419432,0.00013125234645516848,0.002,0.004,1.5663044389470755,2.016503354984447,499
0.05,33,651,33,0.572822842454874,0.1466669540068081,3.9056026378531343,4.6995426626672554e-05,0.004,0.004,1.8590094120865657,2.2700575733968495,499
0.1,65,651,65,0.572822842454874,0.14311098476321563,4.002647619277014,3.1318780421951686e-05,0.004,0.004,1.715087127309361,2.039580876275208,499
0.2,130,651,130,0.572822842454874,0.1282822726455925,4.465331262390563,3.997247958187344e-06,0.002,0.004,1.9201987586185896,2.3598425315107705,499
