lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,5,0.572822842454874,0.1592969296711156,0.2606065974516775,0.8850390874580705,0.00016160865015368842
0,0.0,0,0.572822842454874,0.13518041724411572,0.30787409324130993,0.8377715916684381,1.1302675378077609e-05
1,1.0,1,0.572822842454874,0.1449825679593437,0.28866223086842957,0.8569834540413185,3.891634522723564e-05
5,5.0,5,0.572822842454874,0.1592969296711156,0.2606065974516775,0.8850390874580705,0.00016160865015368842
10,10.0,10,0.572822842454874,0.15951958627333052,0.26017019853041623,0.8854754863793318,0.00016475333692278493
21,21.0,21,0.572822842454874,0.15543547280451978,0.26817491383806025,0.8774707710716878,0.00011422681785211442
63,63.0,63,0.572822842454874,0.1438274536894297,0.2909262132354893,0.8547194716742588,3.40671325181896e-05
126,126.0,126,0.572822842454874,0.1288160611894253,0.3203480018932926,0.8252976830164555,4.357381992781129e-06
