method,annualization_factor,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,12.0,0.5723827172708332,0.13450124265540045,0.3158595198636944,0.8420344095737721,0.0001999600079984003,419.5091122417434,651,4
blocked,12.0,0.5723827172708332,0.15631212234817277,0.268357734356457,0.881723801175918,0.0001999600079984003,419.5091122417434,651,4
stationary,12.0,0.5723827172708332,0.15428898715159936,0.28333999888409406,0.8842253478802353,0.0001999600079984003,419.5091122417434,651,4
cluster_date,12.0,0.5723827172708332,0.13450124265540045,0.3158595198636944,0.8420344095737721,0.0001999600079984003,419.5091122417434,651,4
