method,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,0.33607007108129094,0.09533667304438162,0.15169810763987138,0.5268517309894012,0.0003999200159968006,11537.125667461118,26590,8
blocked,0.33607007108129094,0.11404101717730035,0.10501712374714792,0.5522033906036323,0.0023995200959808036,11537.125667461118,26590,8
stationary,0.33607007108129094,0.12119318365247658,0.09851991284764242,0.5758063502787747,0.002999400119976005,11537.125667461118,26590,8
cluster_date,0.33607007108129094,0.09533667304438162,0.15169810763987138,0.5268517309894012,0.0003999200159968006,11537.125667461118,26590,8
