lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,18,0.3360763907418889,0.1258775735238199,0.08936088017390922,0.5827919013098686,0.0037940638584494923
0,0.0,0,0.3360763907418889,0.095670303843948,0.1485660408177469,0.5235867406660308,0.00022165543580054958
1,1.0,1,0.3360763907418889,0.10186458247864193,0.1364254777835409,0.5357273037002369,0.0004847233141991314
5,5.0,5,0.3360763907418889,0.11199039177933999,0.11657925623985196,0.5555735252439258,0.0013457401558741866
10,10.0,10,0.3360763907418889,0.11825689800524317,0.10429712972818572,0.567855651755592,0.002242152162371891
21,21.0,21,0.3360763907418889,0.1281043876800378,0.08499640462745822,0.5871563768563195,0.004352117777597253
63,63.0,63,0.3360763907418889,0.13675122813571097,0.06804890875427488,0.6041038727295029,0.006993931244545171
126,126.0,126,0.3360763907418889,0.13742868110459427,0.06672112533404384,0.6054316561497339,0.007233367709790661
