b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,532,1000,20,0.3360763907418889,0.1394060147830105,2.410773963124916,0.00795935536756498,0.014,0.026,1.7422840703190379,2.175922508366762,499
0.05,1330,1000,50,0.3360763907418889,0.1227390589541414,2.7381372613216466,0.003089414059393447,0.008,0.014,1.7328108225763261,1.9842511898745325,499
0.1,2659,1000,100,0.3360763907418889,0.11019708999480642,3.049775549950803,0.0011450622250621656,0.004,0.006,1.7086463810826384,2.305088811660697,499
0.2,5318,1000,200,0.3360763907418889,0.10418009719547319,3.225917423664028,0.0006278479005950022,0.014,0.032,2.0662971083852204,2.6428892153559813,499
