lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,13,0.4966595144710672,0.11299346160370309,0.2751963992392997,0.7181226297028347,5.526634101138406e-06
0,0.0,0,0.4966595144710672,0.09941968180217994,0.3018005187843623,0.6915185101577721,2.932877387618049e-07
1,1.0,1,0.4966595144710672,0.10455990660495725,0.29172586329847927,0.7015931656436551,1.0170852581259382e-06
5,5.0,5,0.4966595144710672,0.1094795365819632,0.282083565726284,0.7112354632158504,2.8590816708584654e-06
10,10.0,10,0.4966595144710672,0.11194269707834438,0.2772558598652351,0.7160631690768993,4.56678838212099e-06
21,21.0,21,0.4966595144710672,0.11621726062588925,0.2688778692624194,0.724441159679715,9.619538043792453e-06
63,63.0,63,0.4966595144710672,0.11651494774800837,0.2682944132244045,0.7250246157177299,1.0101976363974252e-05
126,126.0,126,0.4966595144710672,0.11683948795999582,0.2676583260973741,0.7256607028447604,1.0651140608941567e-05
