b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,523,1000,20,0.4966595144710672,0.12010014845735151,4.1353780228459485,1.7718540276545625e-05,0.002,0.002,1.7422840703190383,2.1759225083667633,499
0.05,1307,1000,50,0.4966595144710672,0.12893647362951371,3.851970668114978,5.858553032545011e-05,0.002,0.002,1.7328108225763257,1.9842511898745319,499
0.1,2613,1000,100,0.4966595144710672,0.1469267635713706,3.3803202520677025,0.000362007073642423,0.002,0.004,1.708646381082638,2.305088811660698,499
0.2,5226,1000,200,0.4966595144710672,0.16901453730064592,2.9385609214644113,0.0016486992326727457,0.02,0.04,2.06629710838522,2.6428892153559804,499
