method,annualization_factor,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,252.0,0.4966500111174605,0.09969555638320313,0.29873947820036534,0.6934029122962806,0.0001999600079984003,21449.809764948688,26131,8
blocked,252.0,0.4966500111174605,0.11122033899326664,0.2747103880951373,0.7084164833315463,0.0001999600079984003,21449.809764948688,26131,8
stationary,252.0,0.4966500111174605,0.11156808658494333,0.28432845150860386,0.7171666961054923,0.0001999600079984003,21449.809764948688,26131,8
cluster_date,252.0,0.4966500111174605,0.09969555638320313,0.29873947820036534,0.6934029122962806,0.0001999600079984003,21449.809764948688,26131,8
