lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,16,0.4473259452977087,0.11804025528115962,0.21597129622072192,0.6786805943746954,7.544350209776063e-05
0,0.0,0,0.4473259452977087,0.1000186431807144,0.2512930068809458,0.6433588837144716,3.866864660695413e-06
1,1.0,1,0.4473259452977087,0.1060633921687141,0.23944551656888144,0.6552063740265359,1.2349438312297956e-05
5,5.0,5,0.4473259452977087,0.11183178350755339,0.22813967729602364,0.6665122132993937,3.167266443160344e-05
10,10.0,10,0.4473259452977087,0.11523092887974334,0.22147747478831534,0.673174415807102,5.180140135940814e-05
21,21.0,21,0.4473259452977087,0.1202307084769923,0.2116780868470692,0.6829738037483482,9.938950766941179e-05
63,63.0,63,0.4473259452977087,0.12189213731770039,0.2084217461564052,0.6862301444390122,0.00012134608728742169
126,126.0,126,0.4473259452977087,0.12172847474504767,0.20874251890442172,0.6859093716909956,0.00011902500055904763
