threshold,exposure,cost_bps_per_rebalance,daily_turnover,turnover_rescale,turnover_entry_exit_flip,gross_sharpe,net_sharpe,annual_cost_drag,break_even_cost_bps
0.7,as_selected,0,1.9134361486357202e-05,0.0,1.9134361486357202e-05,0.4473173859194792,0.4473173859194792,0.0,85892.99999999999
0.7,as_selected,1,1.9134361486357202e-05,0.0,1.9134361486357202e-05,0.4473173859194792,0.44731217807499934,4.821859094562015e-07,85892.99999999999
0.7,as_selected,5,1.9134361486357202e-05,0.0,1.9134361486357202e-05,0.4473173859194792,0.44729134669707926,2.4109295472810076e-06,85892.99999999999
0.7,as_selected,10,1.9134361486357202e-05,0.0,1.9134361486357202e-05,0.4473173859194792,0.4472653074746793,4.821859094562015e-06,85892.99999999999
0.7,as_selected,25,1.9134361486357202e-05,0.0,1.9134361486357202e-05,0.4473173859194792,0.44718718980747957,1.2054647736405037e-05,85892.99999999999
