method,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,0.4473173859194792,0.10058961572325242,0.246646798375328,0.651084194046912,0.0001999600079984003,20718.228590648716,26131,8
blocked,0.4473173859194792,0.1139160956461745,0.22224638177585793,0.6673912182414756,0.0001999600079984003,20718.228590648716,26131,8
stationary,0.4473173859194792,0.11466727607386089,0.23094048494318672,0.6727266880474523,0.0001999600079984003,20718.228590648716,26131,8
cluster_date,0.4473173859194792,0.10058961572325242,0.246646798375328,0.651084194046912,0.0001999600079984003,20718.228590648716,26131,8
