b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,523,1000,20,0.4473259452977087,0.12400670098602168,3.607272363032481,0.00015471640187814106,0.002,0.004,1.7422840703190396,2.1759225083667624,499
0.05,1307,1000,50,0.4473259452977087,0.12898855832292688,3.4679505772737937,0.0002622218655964348,0.002,0.002,1.7328108225763261,1.9842511898745319,499
0.1,2613,1000,100,0.4473259452977087,0.14331709334395865,3.1212323307739283,0.0009004794386883175,0.004,0.006,1.7086463810826387,2.3050888116607,499
0.2,5226,1000,200,0.4473259452977087,0.15602641306506781,2.866988585523401,0.0020719897921127606,0.022,0.042,2.0662971083852204,2.6428892153559818,499
