threshold,n_dates,n_dates_selected,n_predictions,avg_names,min_names,p25_names,median_names,p75_names,max_names
0.0,26132,26131,261310,10.0,10,10.0,10.0,10.0,10
0.3,26132,26131,156786,6.0,6,6.0,6.0,6.0,6
0.5,26132,26131,156786,6.0,6,6.0,6.0,6.0,6
0.7,26132,26131,104524,4.0,4,4.0,4.0,4.0,4
0.9,26132,26131,52262,2.0,2,2.0,2.0,2.0,2
