threshold,annualization_factor,sharpe,se,ci_lo,ci_hi,p_blocked,n,n_eff_sr,se_iid_delta,se_hac_delta,se_inflation,hac_bandwidth,p_bh,p_by,q_storey,p_raw,p_adjusted
0.0,252.0,0.03996855565182364,0.2577057435552196,-0.49450065422418943,0.5266240731727286,0.44311137772445514,3477,3477.0,0.2690510068522756,0.2530530841502853,0.9405394430998206,6,0.4533093381323735,1.0,0.0,0.43431313737252547,0.4819036192761448
0.3,252.0,0.03406157736417257,0.259924760279868,-0.4956733658866907,0.5281190736463451,0.4533093381323735,3477,3477.0,0.26907546729982534,0.25936522819843044,0.9639125811102839,5,0.4533093381323735,1.0,0.0,0.4423115376924615,0.4819036192761448
0.5,252.0,0.05768432672213769,0.2606465832843613,-0.4832554727109114,0.5403889649184849,0.4215156968606279,3477,3477.0,0.26898803430692436,0.25983120442842045,0.9659582259779791,5,0.4533093381323735,1.0,0.0,0.40431913617276544,0.4803039392121576
0.7,252.0,0.08677374599582724,0.2625589520370154,-0.4536900044380116,0.5727904031439066,0.3785242951409718,3477,3477.0,0.2689407542039542,0.26182141049532254,0.9735282079887654,5,0.4533093381323735,1.0,0.0,0.3625274945010998,0.4437112577484503
0.9,252.0,0.05357593841057961,0.26242607510289767,-0.47825258781164914,0.5401773775806099,0.4285142971405719,3477,3477.0,0.26907581490164445,0.26126549991201314,0.9709735525933975,4,0.4533093381323735,1.0,0.0,0.3987202559488102,0.4819036192761448
