b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,70,1000,20,0.05769262364080298,0.23154008094486073,0.24916905706075995,0.4016150067965504,0.392,0.816,1.742284070319038,2.1759225083667633,499
0.05,174,1000,50,0.05769262364080298,0.19668588991789715,0.29332365257561527,0.3846373881043935,0.404,0.772,1.7328108225763261,1.9842511898745323,499
0.1,348,1000,100,0.05769262364080298,0.17245899820265187,0.3345295069672732,0.368990014405857,0.36,0.73,1.708646381082638,2.3050888116606982,499
0.2,695,1000,200,0.05769262364080298,0.144131776593106,0.4002769202219248,0.34447628258993457,0.36,0.704,2.0662971083852195,2.642889215355981,499
