lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,5,0.05769262364080298,0.25983120442842045,-0.45156717909856536,0.5669524263801713,0.41214181736062827
0,0.0,0,0.05769262364080298,0.26898803430692436,-0.46951423587299324,0.5848994831545992,0.4150862793650434
1,1.0,1,0.05769262364080298,0.25747157718076485,-0.446942394676221,0.5623276419578269,0.411349956062125
5,5.0,5,0.05769262364080298,0.25983120442842045,-0.45156717909856536,0.5669524263801713,0.41214181736062827
10,10.0,10,0.05769262364080298,0.25701333740262505,-0.44604426121478336,0.5614295084963893,0.41119453281427887
21,21.0,21,0.05769262364080298,0.249402367140705,-0.4311270336140146,0.5465122808956205,0.4085317532117009
63,63.0,63,0.05769262364080298,0.23072240711351918,-0.3945149847280826,0.5099002320096886,0.40127352698642227
126,126.0,126,0.05769262364080298,0.21811358715221033,-0.36980215171636754,0.4851873989979735,0.39569454212290545
