method,annualization_factor,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,252.0,0.05768432672213769,0.26786780463588217,-0.4717898857730102,0.5853438999658582,0.41671665666866625,3477.0,3477,6
blocked,252.0,0.05768432672213769,0.2606465832843613,-0.4832554727109114,0.5403889649184849,0.4215156968606279,3477.0,3477,6
stationary,252.0,0.05768432672213769,0.25813051135007775,-0.4720286143456844,0.5475354320361718,0.41391721655668867,3477.0,3477,6
cluster_date,252.0,0.05768432672213769,0.26786780463588217,-0.4717898857730102,0.5853438999658582,0.41671665666866625,3477.0,3477,6
