threshold,observed_sharpe,null_mean,null_sd,null_q025,null_q500,null_q975,p_positive,n_perms,status,permutation_informative,seed
0.0,0.03996855565182364,0.07995579916036681,0.016869989874932007,0.04651919751206414,0.07998930353769865,0.11264353397598702,0.9909009099090091,10000,ok,True,123
0.3,0.03406157736417257,0.09669423838666454,0.023419080396285392,0.05108931132629099,0.09652637346642182,0.14279166729252835,0.9965003499650035,10000,ok,True,123
0.5,0.05768432672213769,0.104111925746096,0.02932164004159845,0.04669100095181402,0.10407306955947468,0.16174600502340714,0.942905709429057,10000,ok,True,123
0.7,0.08677374599582724,0.13658747302890298,0.04080275293271519,0.05797069988433426,0.13570011170834445,0.21817371032536373,0.892010798920108,10000,ok,True,123
0.9,0.05357593841057961,0.1187661449394347,0.06895931191985825,-0.01858065938997385,0.1185004922970329,0.2560587736564745,0.831916808319168,10000,ok,True,123
