strategy,t_stat,p_raw,p_adjusted,block_size,n_boot,threshold
0,0.04054862028210292,0.471505698860228,0.52749450109978,6,5000,0.0
1,0.03621843620797425,0.47330533893221355,0.52749450109978,6,5000,0.3
2,0.13226566839025958,0.4409118176364727,0.5158968206358728,6,5000,0.5
3,0.22750370048134602,0.40351929614077187,0.4851029794041192,6,5000,0.7
4,0.09187343749811126,0.45570885822835433,0.52749450109978,6,5000,0.9
