lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,8,0.5362725927247838,0.13145693383166263,0.2786217368966601,0.7939234485529074,2.2570742738592386e-05
0,0.0,0,0.5362725927247838,0.11917002623889313,0.30270363325986005,0.7698415521897075,3.396670724908901e-06
1,1.0,1,0.5362725927247838,0.12263658953094508,0.2959092940573096,0.776635891392258,6.131478528570433e-06
5,5.0,5,0.5362725927247838,0.12967291719331428,0.28211834525564305,0.7904268401939245,1.7703039377647833e-05
10,10.0,10,0.5362725927247838,0.1331641796306254,0.2752755966179357,0.7972695888316319,2.822808819891165e-05
21,21.0,21,0.5362725927247838,0.13991538160821781,0.262043483889499,0.8105017015600686,6.333742226249939e-05
63,63.0,63,0.5362725927247838,0.14698018230022514,0.248196728975211,0.8243484564743566,0.00013183419210460734
126,126.0,126,0.5362725927247838,0.15086351935952733,0.24058552819914902,0.8319596572504185,0.00018921464098953233
