b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,354,1000,20,0.5362725927247838,0.16099417946108469,3.3310060930147536,0.00043266354163029597,0.002,0.004,1.7422840703190385,2.1759225083667637,499
0.05,884,1000,50,0.5362725927247838,0.1502637113773783,3.568876262998505,0.00017925784503181053,0.002,0.002,1.7328108225763252,1.9842511898745316,499
0.1,1768,1000,100,0.5362725927247838,0.15061231462169367,3.5606158372360674,0.00018499302402796847,0.002,0.004,1.7086463810826389,2.305088811660701,499
0.2,3536,1000,200,0.5362725927247838,0.14106057272503109,3.801718526764656,7.184796021686424e-05,0.004,0.01,2.0662971083852213,2.6428892153559795,499
