method,annualization_factor,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,252.0,0.5362574272879999,0.11792283327916896,0.30771098152696374,0.7671191057206378,0.0001999600079984003,13920.224954663861,17681,8
blocked,252.0,0.5362574272879999,0.13282578194216887,0.2758511312518396,0.7945441892953031,0.0001999600079984003,13920.224954663861,17681,8
stationary,252.0,0.5362574272879999,0.13239122535861347,0.2761379015840193,0.7889704187641219,0.0001999600079984003,13920.224954663861,17681,8
cluster_date,252.0,0.5362574272879999,0.11792283327916896,0.30771098152696374,0.7671191057206378,0.0001999600079984003,13920.224954663861,17681,8
