method,annualization_factor,sharpe,se,ci_lo,ci_hi,p_positive,n_eff_acf,n,block_size
iid,252.0,0.7414308192709355,0.10166148441216082,0.5464657110828265,0.9466017291163477,0.0001999600079984003,24553.807980227415,25281,8
blocked,252.0,0.7414308192709355,0.10632053362254591,0.5328644173951397,0.9508614041619,0.0001999600079984003,24553.807980227415,25281,8
stationary,252.0,0.7414308192709355,0.11173774584837325,0.528011881096216,0.9618967344553179,0.0001999600079984003,24553.807980227415,25281,8
cluster_date,252.0,0.7414308192709355,0.10166148441216082,0.5464657110828265,0.9466017291163477,0.0001999600079984003,24553.807980227415,25281,8
