lag_label,requested_lag,used_bandwidth,sharpe,se,ci_lo,ci_hi,positive_p_value
auto,,2,0.7414454835012999,0.10302241526029292,0.5395252599907961,0.9433657070118037,3.078648447285559e-13
0,0.0,0,0.7414454835012999,0.10157660202181498,0.5423590018665841,0.9405319651360157,1.4455103780619538e-13
1,1.0,1,0.7414454835012999,0.10214305172502791,0.5412487808492333,0.9416421861533665,1.9517720772910252e-13
5,5.0,5,0.7414454835012999,0.10578222912761863,0.5341161242068035,0.9487748427957963,1.1987077996877815e-12
10,10.0,10,0.7414454835012999,0.11100916621350042,0.5238715157690185,0.9590194512335813,1.2017609130055007e-11
21,21.0,21,0.7414454835012999,0.11861090235072483,0.508972386720082,0.9739185802825178,2.0382029397580936e-10
63,63.0,63,0.7414454835012999,0.13012196939864729,0.48641110988252817,0.9964798571200717,6.058184731649874e-09
126,126.0,126,0.7414454835012999,0.14393724919702083,0.45933365904137224,1.0235573079612275,1.2943203298032557e-07
