b,bandwidth,simulation_length,simulation_bandwidth,sharpe,se,z_statistic,normal_positive_p,fixedb_positive_p,fixedb_two_sided_p,fixedb_crit_95,fixedb_abs_crit_95,n_sim
0.02,506,1000,20,0.7414454835012999,0.18861342782229049,3.931032334558289,4.229094714847115e-05,0.002,0.002,1.7422840703190383,2.175922508366763,499
0.05,1264,1000,50,0.7414454835012999,0.1878046371055774,3.947961535606197,3.940973215665888e-05,0.002,0.002,1.7328108225763257,1.984251189874533,499
0.1,2528,1000,100,0.7414454835012999,0.16589089184859698,4.469476746065071,3.920559148440361e-06,0.002,0.004,1.7086463810826398,2.305088811660697,499
0.2,5056,1000,200,0.7414454835012999,0.19364863792693093,3.828818479895883,6.4379964561323e-05,0.004,0.01,2.066297108385221,2.6428892153559804,499
