true_sharpe,date_iid,hac_delta,moving_block,romano_wolf,row_naive,stationary
0.0,0.081,0.053,0.058,0.055,0.371,0.056
0.0944309136471172,0.105,0.071,0.072,0.072,0.424,0.077
0.1888618272942344,0.139,0.088,0.094,0.095,0.495,0.092
0.3777236545884688,0.219,0.151,0.16,0.162,0.61,0.162
0.7554473091769376,0.459,0.354,0.373,0.376,0.797,0.38
1.5108946183538752,0.858,0.788,0.805,0.8,0.985,0.798
2.832927409413516,1.0,1.0,1.0,1.0,1.0,1.0
